Species,Order,Family,Genus,EADDC,BDT C,UDT
Trogoderma versicolor,Coleoptera,Dermestidae,Trogoderma,510.2,17.1,
Trogoderma versicolor,Coleoptera,Dermestidae,Trogoderma,602.6,17.1,
Trogoderma versicolor,Coleoptera,Dermestidae,Trogoderma,552.9,17.1,
Trogoderma versicolor,Coleoptera,Dermestidae,Trogoderma,,,
Trogoderma versicolor,Coleoptera,Dermestidae,Trogoderma,,,
Trogoderma versicolor,Coleoptera,Dermestidae,Trogoderma,,,
Laricobius nigrinus,Coleoptera,Derodontidae,Laricobius,685.28,3.78,
Dytiscus alaskanus,Coleoptera,Dytiscidae,Dytiscus,, ,
Agriotes ustulatus,Coleoptera,Elateridae,Agriotes,, ,
Carcinops pumilio,Coleoptera,Histeridae,Carcinops,402.1,13.7,
Agasicles hygrophila,Coleoptera,Chrysomelidae,Agasicles,,13.3,
Agasides hygrophila,Coleoptera,Chrysomelidae,Agasides,321.89,11.56,
Agasides hygrophila,Coleoptera,Chrysomelidae,Agasides,268.07,12.87,
Aphthona abdominalis,Coleoptera,Chrysomelidae,Aphthona,,,
Aphthona nigriscutis,Coleoptera,Chrysomelidae,Aphthona,, ,
Cassida rubiginosa,Coleoptera,Chrysomelidae,Cassida,394,11.3,
Cerotoma arcuatus,Coleoptera,Chrysomelidae,Cerotoma,489,10.7,
Crioceris asparagi,Coleoptera,Chrysomelidae,Crioceris,402.2,7.5,
Diabrotica barberi,Coleoptera,Chrysomelidae,Diabrotica,, ,
Diabrotica barberi,Coleoptera,Chrysomelidae,Diabrotica,, ,
Diabrotica barberi,Coleoptera,Chrysomelidae,Diabrotica,, ,
Diabrotica barberi,Coleoptera,Chrysomelidae,Diabrotica,, ,
Diabrotica speciosa,Coleoptera,Chrysomelidae,Diabrotica,,11.05,
Diabrotica undecimpunctata howardi,Coleoptera,Chrysomelidae,Diabrotica,,,
Diabrotica virgifera,Coleoptera,Chrysomelidae,Diabrotica,,,
Diabrotica virgifera,Coleoptera,Chrysomelidae,Diabrotica,,,
Diabrotica virgifera virgifera,Coleoptera,Chrysomelidae,Diabrotica,,11,18
Diabrotica virgifera virgifera,Coleoptera,Chrysomelidae,Diabrotica,,,
Diabrotica virgifera virgifera,Coleoptera,Chrysomelidae,Diabrotica,,,
Diabrotica virgifera virgifera,Coleoptera,Chrysomelidae,Diabrotica,, ,
Diabrotica virgifera virgifera,Coleoptera,Chrysomelidae,Diabrotica,, ,
Diabrotica virgifera virgifera,Coleoptera,Chrysomelidae,Diabrotica,, ,
Diabrotica virgifera virgifera,Coleoptera,Chrysomelidae,Diabrotica,, ,
Diabrotica virgifera virgifera,Coleoptera,Chrysomelidae,Diabrotica,, ,
Entomoscelis americana,Coleoptera,Chrysomelidae,Entomoscelis,, ,
Entomoscelis americana,Coleoptera,Chrysomelidae,Entomoscelis,, ,
Galeruca sardoa,Coleoptera,Chrysomelidae,Galeruca,, ,
Galerucella grisescens,Coleoptera,Chrysomelidae,Galerucella,318.39,10.32,
Galerucella grisescens,Coleoptera,Chrysomelidae,Galerucella,317.37,10.33,
Gastrophysa viridula,Coleoptera,Chrysomelidae,Gastrophysa,304.6,7.1,
Chrysomela populi,Coleoptera,Chrysomelidae,Chrysomela,328.5,8.9,
Chrysophtharta agricola,Coleoptera,Chrysomelidae,Chrysophtharta,400,8,
Chrysophtharta bimaculata,Coleoptera,Chrysomelidae,Chrysophtharta,, ,
Leptinotarsa decemlineata,Coleoptera,Chrysomelidae,Leptinotarsa,,10,
Leptinotarsa decemlineata,Coleoptera,Chrysomelidae,Leptinotarsa,410.7,8.1,
Leptinotarsa decemlineata,Coleoptera,Chrysomelidae,Leptinotarsa,, ,
Leptinotarsa decemlineata,Coleoptera,Chrysomelidae,Leptinotarsa,, ,
Leptinotarsa decemlineata,Coleoptera,Chrysomelidae,Leptinotarsa,, ,
Leptinotarsa decemlineata,Coleoptera,Chrysomelidae,Leptinotarsa,,,
Leptinotarsa decemlineata,Coleoptera,Chrysomelidae,Leptinotarsa,354.3,9.8,
Leptinotarsa decemlineata,Coleoptera,Chrysomelidae,Leptinotarsa,452.5,9.5,
Leptinotarsa decemlineata,Coleoptera,Chrysomelidae,Leptinotarsa,464.5,9.8,
Leptinotarsa decemlineata,Coleoptera,Chrysomelidae,Leptinotarsa,360.6,11.4,
Leptinotarsa decemlineata,Coleoptera,Chrysomelidae,Leptinotarsa,, ,
Oulema melanopus,Coleoptera,Chrysomelidae,Oulema,423.3,9.1,
Oulema melanopus,Coleoptera,Chrysomelidae,Oulema,, ,
Oulema melanopus,Coleoptera,Chrysomelidae,Oulema,553,7,30
Oulema melanopus,Coleoptera,Chrysomelidae,Oulema,435.3,9,
Oulema melanopus,Coleoptera,Chrysomelidae,Oulema,458,9,32
Phyllotreta cruciferae,Coleoptera,Chrysomelidae,Phyllotreta,455.9,11,
Phyllotreta vittata,Coleoptera,Chrysomelidae,Phyllotreta,,,
Phyllotreta vittata,Coleoptera,Chrysomelidae,Phyllotreta,, ,
Pyrrhalta luteola,Coleoptera,Chrysomelidae,Pyrrhalta,,11,
Pyrrhalta luteola,Coleoptera,Chrysomelidae,Pyrrhalta,,11,
Pyrrhalta luteola,Coleoptera,Chrysomelidae,Pyrrhalta,,11,
Pyrrhalta luteola,Coleoptera,Chrysomelidae,Pyrrhalta,,11,
Pyrrhalta luteola,Coleoptera,Chrysomelidae,Pyrrhalta,405.5,11.7,
Sclerophaedon orbicularis,Coleoptera,Chrysomelidae,Sclerophaedon,493.6,3.7,
Cryptolestes pusillus,Coleoptera,Laemophloeidae,Cryptolestes,498.7,14.6,
Cryptolestes pusillus,Coleoptera,Laemophloeidae,Cryptolestes,333.5,14.9,
Cryptolestes pusillus,Coleoptera,Laemophloeidae,Cryptolestes,299.2,21.2,
Cryptolestes pusillus,Coleoptera,Laemophloeidae,Cryptolestes,,,
Cryptolestes pusillus fuscus,Coleoptera,Laemophloeidae,Cryptolestes,558,15.3,
Cryptolestes pusillus fuscus,Coleoptera,Laemophloeidae,Cryptolestes,488.8,15.4,
Cryptolestes pusillus fuscus,Coleoptera,Laemophloeidae,Cryptolestes,, ,
Cryptolestes pusillus fuscus,Coleoptera,Laemophloeidae,Cryptolestes,, ,
Cryptolestes pusillus fuscus,Coleoptera,Laemophloeidae,Cryptolestes,, ,
Cryptolestes pusillus fuscus,Coleoptera,Laemophloeidae,Cryptolestes,, ,
Cryptolestes pusillus pusillus,Coleoptera,Laemophloeidae,Cryptolestes,, ,
Cryptolestes pusillus pusillus,Coleoptera,Laemophloeidae,Cryptolestes,, ,
Cryptolestes pusillus pusillus,Coleoptera,Laemophloeidae,Cryptolestes,, ,
Cryptolestes pusillus pusillus,Coleoptera,Laemophloeidae,Cryptolestes,, ,
Cryptolestes pusillus pusillus,Coleoptera,Laemophloeidae,Cryptolestes,, ,
Typhaea stercorea,Coleoptera,Mycetophagidae,Typhaea,377.2,14.9,
Carpophilus hemipterus,Coleoptera,Nitidulidae,Carpophilus,727.2,7.2,
Carpophilus hemipterus,Coleoptera,Nitidulidae,Carpophilus,260.4,14.61,
Carpophilus humeralis,Coleoptera,Nitidulidae,Carpophilus,297.6,15.4,
Carpophilus ligneus,Coleoptera,Nitidulidae,Carpophilus,619.2,7.7,
Carpophilus mutilatus,Coleoptera,Nitidulidae,Carpophilus,320,15.3,
Glischrochilus quadrisignatus,Coleoptera,Nitidulidae,Glischrochilus,696.4,6.2,
Meligethes aeneus,Coleoptera,Nitidulidae,Meligethes,, ,
Antitrogus parvulus,Coleoptera,Scarabaeidae,Antitrogus,, ,
Aphodius fimetarius,Coleoptera,Scarabaeidae,Aphodius,461.3,9.9,
Ataenius spretulus,Coleoptera,Scarabaeidae,Ataenius,, ,
Bubas bison,Coleoptera,Scarabaeidae,Bubas,, ,
Copris hispanus,Coleoptera,Scarabaeidae,Copris,, ,
Costelytra zealandica,Coleoptera,Scarabaeidae,Costelytra,, ,
Costelytra zealandica,Coleoptera,Scarabaeidae,Costelytra,, ,
Costelytra zealandica,Coleoptera,Scarabaeidae,Costelytra,, ,
Maladera matrida,Coleoptera,Scarabaeidae,Maladera,829,15.55,29
Onitis caffer,Coleoptera,Scarabaeidae,Onitis,,10.1,
Onitis caffer,Coleoptera,Scarabaeidae,Onitis,,10.45,
Popillia japonica,Coleoptera,Scarabaeidae,Popillia,1305,10,34
Dendroctonus ponderosae,Coleoptera,Scolytidae,Dendroctonus,472.8,8.6,
Dryocoetes autographus,Coleoptera,Scolytidae,Dryocoetes,,7.1,
Ips amitrinus,Coleoptera,Scolytidae,Ips,606,9.2,
Ips avulsus,Coleoptera,Scolytidae,Ips,197.8,12.2,
Ips avulsus,Coleoptera,Scolytidae,Ips,163.6,13.3,
Ips calligraphus,Coleoptera,Scolytidae,Ips,,10,
Ips calligraphus,Coleoptera,Scolytidae,Ips,204.4,11.3,
Ips calligraphus,Coleoptera,Scolytidae,Ips,203.6,11.3,
Ips calligraphus,Coleoptera,Scolytidae,Ips,394.7,12.1,
Ips cembrae,Coleoptera,Scolytidae,Ips,243.3,11.3,
Ips typographus,Coleoptera,Scolytidae,Ips,268,11.9,
Ips typographus,Coleoptera,Scolytidae,Ips,,5,
Ips typographus,Coleoptera,Scolytidae,Ips,,7,
Ips typographus,Coleoptera,Scolytidae,Ips,, ,
Ips typographus,Coleoptera,Scolytidae,Ips,392,6.6,
Orthotomicus erosus,Coleoptera,Scolytidae,Orthotomicus,,,
Phloetribus scarabaeoides,Coleoptera,Scolytidae,Phloetribus,540.3,12.3,
Pityogenes chalcographus,Coleoptera,Scolytidae,Pityogenes,349,10.5,
Tomicus piniperda,Coleoptera,Scolytidae,Tomicus,651,7.26,
Tomicus piniperda,Coleoptera,Scolytidae,Tomicus,, ,
Tomicus piniperda,Coleoptera,Scolytidae,Tomicus,, ,
Tomicus piniperda,Coleoptera,Scolytidae,Tomicus,, ,
Tomicus piniperda,Coleoptera,Scolytidae,Tomicus,, ,
Xyleborus perforans,Coleoptera,Scolytidae,Xyleborus,294.85,14.02,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,416.6,14,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,467.7,14.1,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,442.3,14.2,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,429.9,14.2,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,396.6,14.5,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,350.7,14.8,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,335.3,14.9,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,, ,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,, ,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,, ,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,, ,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,, ,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,, ,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,, ,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,, ,
Oryzaephilus acuminatus,Coleoptera,Silvanidae,Oryzaephilus,, ,
Alphitobius diaperinus,Coleoptera,Tenebrionidae,Alphitobius,461.2,17.2,
Coelopalorus foveicollis,Coleoptera,Tenebrionidae,Coelopalorus,582.5,16.4,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,665.1,13.4,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,728.1,13.9,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,553,14.8,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,573.6,15.3,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,579.3,15.4,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,557.3,15.7,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,556.7,15.7,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,591.6,16,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,550.4,16,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,425.4,16,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,526.1,16,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,531.5,16,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,522.8,16.1,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,449.6,18,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,725.7,10.7,
Gnathocerus maxillosus,Coleoptera,Tenebrionidae,Gnathocerus,733,13.3,
Gonatocerus cincticipitis,Coleoptera,Tenebrionidae,Gonatocerus,169.8,11,
Gonatocerus cincticipitis,Coleoptera,Tenebrionidae,Gonatocerus,166.2,11.4,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,254.1,22.8,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,, ,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,, ,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,, ,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,, ,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,, ,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,373.5,19.7,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,306,20.6,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,331.5,20.7,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,276.1,21.1,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,270.2,21.5,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,254.3,21.6,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,249.9,21.7,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,228.5,21.9,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,231.5,22,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,232.1,22.2,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,212.9,22.5,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,214.7,22.5,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,209.3,22.7,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,203,22.9,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,, ,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,, ,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,, ,
Latheticus oryzae,Coleoptera,Tenebrionidae,Latheticus,, ,
Palorus laesicollis,Coleoptera,Tenebrionidae,Palorus,966.9,9.5,
Palorus ratzeburgi,Coleoptera,Tenebrionidae,Palorus,435.4,15.4,
Palorus subdepressus,Coleoptera,Tenebrionidae,Palorus,510.8,15.6,
Somaticus angulatus,Coleoptera,Tenebrionidae,Somaticus,, ,
Tenebrio molitor,Coleoptera,Tenebrionidae,Tenebrio,,,
Tribolium castaneum,Coleoptera,Tenebrionidae,Tribolium,381.9,19,
Tribolium castaneum,Coleoptera,Tenebrionidae,Tribolium,1011.1,9.1,
Tribolium castaneum,Coleoptera,Tenebrionidae,Tribolium,283.3,18.7,
Tribolium castaneum,Coleoptera,Tenebrionidae,Tribolium,509.8,18.8,
Tribolium castaneum,Coleoptera,Tenebrionidae,Tribolium,398.6,17.6,
Tribolium castaneum,Coleoptera,Tenebrionidae,Tribolium,474.5,17.7,
Tribolium castaneum,Coleoptera,Tenebrionidae,Tribolium,337.1,17.8,
Tribolium castaneum,Coleoptera,Tenebrionidae,Tribolium,,,
Tribolium confusum,Coleoptera,Tenebrionidae,Tribolium,, ,
Tribolium confusum,Coleoptera,Tenebrionidae,Tribolium,612.1,15.7,
Tribolium confusum,Coleoptera,Tenebrionidae,Tribolium,,,
Tribolium confusum,Coleoptera,Tenebrionidae,Tribolium,404.5,15,
Tribolium confusum,Coleoptera,Tenebrionidae,Tribolium,260,18.8,
Tribolium madens,Coleoptera,Tenebrionidae,Tribolium,356.7,18.6,
Nala lividipes,Dermaptera,Labiduridae,Nala,549.8,16.9,
Agromyza frontella,Diptera,Agromyzidae,Agromyza,454.9,7.1,
Agromyza frontella,Diptera,Agromyzidae,Agromyza,,,
Agromyza frontella,Diptera,Agromyzidae,Agromyza,,,
Chromatomyia syngenesiae,Diptera,Agromyzidae,Chromatomyia,264.4,8.8,
Chromatomyia syngenesiae,Diptera,Agromyzidae,Chromatomyia,267.6,8.8,
Liriomyza bryoniae,Diptera,Agromyzidae,Liriomyza,,,
Liriomyza bryoniae,Diptera,Agromyzidae,Liriomyza,295.4,8.1,
Liriomyza huidobrensis,Diptera,Agromyzidae,Liriomyza,,7.24,
Liriomyza huidobrensis,Diptera,Agromyzidae,Liriomyza,312.5,5.66,
Liriomyza huidobrensis,Diptera,Agromyzidae,Liriomyza,312.8,5.7,
Liriomyza huidobrensis,Diptera,Agromyzidae,Liriomyza,280.3,8.1,
Liriomyza chinensis,Diptera,Agromyzidae,Liriomyza,404.5,9.05,
Liriomyza sativae,Diptera,Agromyzidae,Liriomyza,264.2,9.5,
Liriomyza sativae,Diptera,Agromyzidae,Liriomyza,284.2,9.4,
Liriomyza sativae,Diptera,Agromyzidae,Liriomyza,261.65,10.08,
Liriomyza sativae,Diptera,Agromyzidae,Liriomyza,,10,35
Liriomyza sativae,Diptera,Agromyzidae,Liriomyza,, ,
Liriomyza sativae,Diptera,Agromyzidae,Liriomyza,295.7,8.77,
Liriomyza trifolii,Diptera,Agromyzidae,Liriomyza,264.1,10.6,
Liriomyza trifolii,Diptera,Agromyzidae,Liriomyza,291.9,8.5,
Liriomyza trifolii,Diptera,Agromyzidae,Liriomyza,233.9,10.5,
Liriomyza trifolii,Diptera,Agromyzidae,Liriomyza,317.7,10.9,
Liriomyza trifolii,Diptera,Agromyzidae,Liriomyza,290.4,10.4,
Liriomyza trifolii,Diptera,Agromyzidae,Liriomyza,222.8,10.8,
Liriomyza trifolii,Diptera,Agromyzidae,Liriomyza,178.2,11.6,
Liriomyza trifolii,Diptera,Agromyzidae,Liriomyza,,,
Ophiomyia centrosematis,Diptera,Agromyzidae,Ophiomyia,314.3,14.7,
Delia antiqua,Diptera,Anthomyiidae,Delia,643,4.4,
Delia coarctata,Diptera,Anthomyiidae,Delia,,,
Delia florilega,Diptera,Anthomyiidae,Delia,386.2,7.9,
Delia platura,Diptera,Anthomyiidae,Delia,,3.9,29
Delia platura,Diptera,Anthomyiidae,Delia,579.8,0.6,
Delia platura,Diptera,Anthomyiidae,Delia,376,3.9,
Delia platura,Diptera,Anthomyiidae,Delia,400.4,7.9,
Delia radicum,Diptera,Anthomyiidae,Delia,, ,
Delia radicum,Diptera,Anthomyiidae,Delia,,5,
Delia radicum,Diptera,Anthomyiidae,Delia,,6.1,
Delia radicum,Diptera,Anthomyiidae,Delia,,6.1,
Delia radicum,Diptera,Anthomyiidae,Delia,,6,
Hylemya antiqua,Diptera,Anthomyiidae,Hylemya,,,
Hylemya brassicae,Diptera,Anthomyiidae,Hylemya,,,
Hylemya platura,Diptera,Anthomyiidae,Hylemya,,,
Pegomya hyoscyami,Diptera,Anthomyiidae,Pegomya,,,
Calliphora alpina,Diptera,Calliphoridae,Calliphora,,,
Calliphora vicina,Diptera,Calliphoridae,Calliphora,,,
Chrysomya albiceps,Diptera,Calliphoridae,Chrysomya,185.5,10.2,
Lucilia cuprina,Diptera,Calliphoridae,Lucilia,,,
Lucilia cuprina,Diptera,Calliphoridae,Lucilia,,,
Lucilia cuprina,Diptera,Calliphoridae,Lucilia,,8.2,
Phaenicia pallescens,Diptera,Calliphoridae,Phaenicia,145.4,7.9,
Phaenicia sericata,Diptera,Calliphoridae,Phaenicia,181.3,15.7,
Protophormia terraenovae,Diptera,Calliphoridae,Protophormia,240.2,8.95,
Aphidoletes aphidimyza,Diptera,Cecidomyiidae,Aphidoletes,285.3,6,
Aphidoletes aphidimyza,Diptera,Cecidomyiidae,Aphidoletes,240.5,10.2,
Aphidoletes aphidimyza,Diptera,Cecidomyiidae,Aphidoletes,193.8,10.9,
Aphidoletes aphidimyza,Diptera,Cecidomyiidae,Aphidoletes,218,11.2,
Aphidoletes aphidimyza,Diptera,Cecidomyiidae,Aphidoletes,196.4,12,
Contarinia nasturtii,Diptera,Cecidomyiidae,Contarinia,,,
Contarinia nasturtii,Diptera,Cecidomyiidae,Contarinia,263,10.45,32.5
Contarinia sorghicola,Diptera,Cecidomyiidae,Contarinia,294.2,9.3,
Cystiphora schmidtii,Diptera,Cecidomyiidae,Cystiphora,296.8,9.4,
Dasyneura brassicae,Diptera,Cecidomyiidae,Dasyneura,266.6,7.5,
Dasyneura tetensi,Diptera,Cecidomyiidae,Dasyneura,,7,
Feltiella acarisuga,Diptera,Cecidomyiidae,Feltiella,254.37,5.27,
Mayetiola destructor,Diptera,Cecidomyiidae,Mayetiola,,1.6,26.7
Mayetiola destructor,Diptera,Cecidomyiidae,Mayetiola,, ,
Mayetiola destructor,Diptera,Cecidomyiidae,Mayetiola,389,1.6,26.7
Culicoides mississippiensis,Diptera,Ceratopogonidae,Culicoides,838.9,5.8,
Culicoides mississippiensis,Diptera,Ceratopogonidae,Culicoides,707.1,7.1,
Culicoides mississippiensis,Diptera,Ceratopogonidae,Culicoides,,,
Culicoides mississippiensis,Diptera,Ceratopogonidae,Culicoides,,,
Culicoides mississippiensis,Diptera,Ceratopogonidae,Culicoides,,,
Culicoides mississippiensis,Diptera,Ceratopogonidae,Culicoides,,,
Culicoides variipennis,Diptera,Ceratopogonidae,Culicoides,295.6,9.9,
Culicoides variipennis,Diptera,Ceratopogonidae,Culicoides,, ,
Aedes aegypti,Diptera,Culicidae,Aedes,,,
Aedes aegypti,Diptera,Culicidae,Aedes,,,
Aedes albopictus,Diptera,Culicidae,Aedes,,8.81,
Aedes campestris,Diptera,Culicidae,Aedes,, ,
Aedes campestris,Diptera,Culicidae,Aedes,, ,
Aedes dorsalis,Diptera,Culicidae,Aedes,139.6,10.1,
Aedes dorsalis,Diptera,Culicidae,Aedes,127.6,11.2,
Aedes flavescens,Diptera,Culicidae,Aedes,,,
Aedes nigromaculatus,Diptera,Culicidae,Aedes,,,
Aedes nigromaculatus,Diptera,Culicidae,Aedes,,,
Aedes togoi,Diptera,Culicidae,Aedes,,,
Aedes togoi,Diptera,Culicidae,Aedes,,,
Aedes triseriatus,Diptera,Culicidae,Aedes,,5.3,
Aedes vexans,Diptera,Culicidae,Aedes,,,
Aedes vexans,Diptera,Culicidae,Aedes,,,
Aedes vexans,Diptera,Culicidae,Aedes,,,
Aedes vexans,Diptera,Culicidae,Aedes,,,
Anopheles gambiae,Diptera,Culicidae,Anopheles,213.11,8.75,
Culex annulirostris,Diptera,Culicidae,Culex,277.5,10.2,
Culex annulirostris,Diptera,Culicidae,Culex,224.5,12.4,
Culex annulirostris,Diptera,Culicidae,Culex,129.3,13.7,
Culex quinquefasciatus,Diptera,Culicidae,Culex,,,
Culex quinquefasciatus,Diptera,Culicidae,Culex,, ,
Culex quinquefasciatus,Diptera,Culicidae,Culex,,,
Culex theileri,Diptera,Culicidae,Culex,230.3,7.9,
Culex theileri,Diptera,Culicidae,Culex,218.5,7.9,
Culex theileri,Diptera,Culicidae,Culex,219.2,8.2,
Culex theileri,Diptera,Culicidae,Culex,223.8,8.6,
Culex theileri,Diptera,Culicidae,Culex,,,
Culex tritaeniorhynchus,Diptera,Culicidae,Culex,,,
Culex tritaeniorhynchus,Diptera,Culicidae,Culex,,,
Culex vishnui,Diptera,Culicidae,Culex,,,
Culiseta incidens,Diptera,Culicidae,Culiseta,207.4,14.27,
Culiseta inornata,Diptera,Culicidae,Culiseta,,,
Culiseta inornata,Diptera,Culicidae,Culiseta,,,
Culiseta inornata,Diptera,Culicidae,Culiseta,,,
Culiseta melanura,Diptera,Culicidae,Culiseta,391,9.95,
Psorophora confinis,Diptera,Culicidae,Psorophora,,,
Toxorhynchites brevipalpis,Diptera,Culicidae,Toxorhynchites,,,
Toxorhynchites rutilus septentrionalis,Diptera,Culicidae,Toxorhynchites,318.2,9.5,
Toxorhynchites rutilus septentrionalis,Diptera,Culicidae,Toxorhynchites,284.6,9.9,
Toxorhynchites rutilus septentrionalis,Diptera,Culicidae,Toxorhynchites,272.1,10.1,
Toxorhynchites rutilus septentrionalis,Diptera,Culicidae,Toxorhynchites,288.2,10.2,
Drosophila auraria species complex,Diptera,Drosophilidae,Drosophila,218.1,7.52,
Drosophila lutescens,Diptera,Drosophilidae,Drosophila,170.5,7.9,
Drosophila lutescens,Diptera,Drosophilidae,Drosophila,241.9,3.9,
Drosophila lutescens,Diptera,Drosophilidae,Drosophila,203.8,5.6,
Drosophila lutescens,Diptera,Drosophilidae,Drosophila,195.82,6.05,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,236.1,9.1,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,145.8,9.6,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,145,9.7,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,142.6,9.8,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,143.3,9.8,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,144.2,9.8,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,143.8,9.8,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,143,9.8,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,141.2,9.9,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,141.1,10,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,160,8.9,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,155.7,9.4,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,149,9.5,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,152,9.7,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,149.7,10,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,155.8,10,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,117.6,12.4,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,114.4,12.5,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,120.2,12.6,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,111.1,13,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,104.9,13.1,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,108.3,13.1,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,147.14,9.54,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,146.21,9.64,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,140.7,11.9,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,142.95,9.76,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,177.4,8.2,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,157.1,8.9,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,154.3,9,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,154.7,9.2,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,154.2,9.2,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,153.2,9.3,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,150,9.6,
